================================================================================================================================================================
STRATEGY C OPTIMIZATION v6 — 20 CITIES + METAR CALIBRATION
================================================================================================================================================================

--- Phase 1: Baseline ---
  [  1] baseline_20cities                                                 | comp=   70.7769 | trades=3590 | sharpe=  11.99 | win= 69.2% | pnl= 177.4% | dd= 0.75% | 1s
  [ 81] mfp=0.6 maxp=0.5 s=1.2                                            | comp=   62.4133 | trades=1747 | sharpe=  15.07 | win= 77.5% | pnl=  69.5% | dd= 0.45% | 40s
  [ 82] mfp=0.6 maxp=0.55 s=1.05                                          | comp=   67.7641 | trades=2522 | sharpe=  13.65 | win= 75.2% | pnl= 106.0% | dd= 0.56% | 41s
  [ 83] mfp=0.6 maxp=0.55 s=1.1                                           | comp=   64.8671 | trades=2181 | sharpe=  14.02 | win= 76.0% | pnl=  87.6% | dd= 0.45% | 41s
  [ 84] mfp=0.6 maxp=0.55 s=1.15                                          | comp=   63.5519 | trades=1861 | sharpe=  14.87 | win= 77.4% | pnl=  73.4% | dd= 0.45% | 42s
  [ 85] mfp=0.6 maxp=0.55 s=1.2                                           | comp=   62.4969 | trades=1765 | sharpe=  15.01 | win= 77.6% | pnl=  69.9% | dd= 0.45% | 42s
  [ 86] mfp=0.65 maxp=0.4 s=1.05                                          | comp=   52.4039 | trades=1168 | sharpe=  15.47 | win= 76.4% | pnl=  43.7% | dd= 0.45% | 43s
  [ 87] mfp=0.65 maxp=0.4 s=1.1                                           | comp=   48.7370 | trades=1072 | sharpe=  14.99 | win= 75.3% | pnl=  37.8% | dd= 0.34% | 43s
  [ 88] mfp=0.65 maxp=0.4 s=1.15                                          | comp=   50.0887 | trades=1023 | sharpe=  15.77 | win= 76.6% | pnl=  37.4% | dd= 0.34% | 44s
  [ 89] mfp=0.65 maxp=0.4 s=1.2                                           | comp=   49.3718 | trades= 964 | sharpe=  16.01 | win= 77.1% | pnl=  36.2% | dd= 0.34% | 44s
  [ 90] mfp=0.65 maxp=0.43 s=1.05                                         | comp=   56.0188 | trades=1354 | sharpe=  15.36 | win= 77.1% | pnl=  49.6% | dd= 0.45% | 45s
  [ 91] mfp=0.65 maxp=0.43 s=1.1                                          | comp=   52.2370 | trades=1239 | sharpe=  14.98 | win= 76.1% | pnl=  42.8% | dd= 0.45% | 45s
  [ 92] mfp=0.65 maxp=0.43 s=1.15                                         | comp=   53.7554 | trades=1178 | sharpe=  15.77 | win= 77.5% | pnl=  42.3% | dd= 0.35% | 45s
  [ 93] mfp=0.65 maxp=0.43 s=1.2                                          | comp=   52.7441 | trades=1107 | sharpe=  15.96 | win= 77.9% | pnl=  40.6% | dd= 0.35% | 46s
